"","Analysis","Calculus 1","Calculus 2","Caps","Complex","Linalg1","Linalg 2","Nummat 1","Ode","Prob","Stat","Statr"
"1",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"5",NA,NA,9,NA,NA,NA,NA,NA,8,9,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,9.5
"9",NA,4.5,3.5,5,NA,NA,3.5,NA,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3.5,3.5
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA
"13",NA,9.5,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,9.5
"16",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,5,NA,6,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
"20",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA
"22",NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,8.5,8.5
"23",NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA
"24",NA,6,NA,NA,NA,4.5,7,NA,NA,NA,NA,NA
"25",NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
"26",NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",6,7.5,6.5,7,6,8,6,4.5,6.5,4,6.5,6.5
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,7
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA
"33",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
"34",NA,8.5,9.5,NA,NA,NA,9.5,NA,NA,NA,NA,NA
"35",6,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA
"36",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
"37",NA,NA,NA,NA,7,NA,NA,5,NA,NA,6,NA
"38",NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",NA,NA,NA,NA,NA,NA,NA,NA,6,6,1.5,1.5
"40",NA,NA,NA,NA,NA,NA,NA,NA,6,6,1.5,1.5
"41",NA,NA,NA,NA,NA,NA,NA,NA,6,6,1.5,1.5
"42",NA,NA,NA,NA,NA,NA,NA,NA,6,6,1.5,1.5
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,2
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA
"46",NA,NA,NA,NA,NA,NA,NA,NA,6,3,8,NA
"47",NA,NA,NA,NA,NA,NA,NA,NA,6,3,8,NA
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA
"50",NA,NA,7.5,NA,NA,NA,NA,5,NA,NA,NA,NA
"51",NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,9.5
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10
"54",6,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,7.5
"56",NA,5,2.5,NA,NA,8,NA,NA,NA,NA,NA,NA
"57",NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
"58",7,9.5,9.5,8.5,9,9,8.5,8.5,9.5,6,10,NA
"59",NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
"60",NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA
"61",8.5,8.5,8.5,6,8,8,8,7,8,9,6.5,NA
"62",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",NA,NA,NA,NA,9,NA,NA,NA,5,NA,NA,NA
"64",NA,9,6,7,NA,6,7,NA,NA,6,NA,NA
"65",NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA
"66",6,NA,7.5,8,NA,NA,NA,NA,NA,NA,NA,NA
"67",NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
"68",NA,8,NA,NA,NA,7.5,NA,NA,NA,NA,9,9
"69",NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",NA,7.5,6,NA,NA,3,NA,NA,NA,NA,NA,NA
"71",4.5,7.5,6,6.5,6,8,6,4.5,7,5,5,NA
"72",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
"73",NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA
"74",NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA
"75",NA,7.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",NA,8.5,6,NA,NA,7,NA,NA,NA,NA,NA,NA
"77",NA,NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,5,5
"79",NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,9.5
"82",NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
"83",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA
"84",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"85",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA
"86",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA
"88",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,8.5
"90",NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
"92",NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA
"93",NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA
"94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"95",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA
"96",6,6.5,6,NA,5,5,6,8,7.5,NA,NA,NA
"97",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",NA,NA,6,NA,7,NA,NA,NA,NA,NA,NA,NA
"99",NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA
"100",NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA
"101",7.5,NA,8,NA,NA,NA,8.5,8,7.5,9,7.5,NA
"102",NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA
"103",NA,NA,7,NA,NA,NA,NA,NA,NA,2.5,NA,NA
"104",NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA
"105",NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA
"106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,9.5
"107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10
"108",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
"109",NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"110",NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA
"111",NA,9,7,NA,NA,7,NA,NA,NA,NA,NA,NA
"112",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
"113",NA,9,NA,8,NA,6.5,NA,NA,NA,NA,NA,NA
"114",NA,NA,9.5,NA,NA,NA,NA,NA,7.5,9,NA,NA
"115",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
"116",NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA
"117",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA
"118",NA,8.5,6.5,NA,NA,5,NA,NA,NA,NA,NA,NA
"119",NA,7.5,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA
"120",7,NA,7,NA,8,NA,NA,NA,9.5,6,9.5,7
"121",NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,NA,NA
"122",NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",NA,NA,9,NA,NA,NA,NA,NA,9,9,NA,NA
"124",NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA
"125",NA,6.5,3.5,NA,6,6,NA,NA,NA,NA,NA,NA
"126",NA,NA,6,NA,NA,NA,NA,NA,NA,6,NA,NA
"127",NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA
"128",NA,NA,4.5,7.5,4,6,7,NA,NA,1.5,7.5,NA
"129",NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",NA,NA,NA,NA,6.5,NA,NA,NA,7,6.5,7,NA
"131",NA,NA,NA,NA,NA,NA,8,8.5,7.5,8,9,NA
"132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10
"133",6.5,9.5,8.5,8.5,NA,8.5,7.5,NA,NA,7,NA,NA
"134",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA
"136",NA,NA,7,NA,NA,NA,NA,NA,7.5,8.5,NA,NA
"137",NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA
"139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10
"140",NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10
"142",NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA
"143",NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA
"144",NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA
"145",NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
"146",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA
"147",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA
"148",NA,NA,8.5,NA,NA,NA,NA,NA,7.5,8.5,NA,NA
"149",NA,NA,7,NA,NA,NA,NA,7.5,NA,NA,NA,NA
"150",6.5,9,5,8,NA,9,7,7.5,7.5,6,NA,NA
"151",NA,NA,6,NA,8,NA,NA,8.5,NA,NA,8,NA
"152",NA,8,6.5,NA,NA,6,NA,NA,NA,NA,NA,NA
"153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,8.5
"154",NA,NA,NA,8,NA,NA,8.5,NA,7,7,NA,NA
"155",NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA
"156",6,7.5,6.5,7.5,7.5,4.5,6.5,7.5,7,6,2.5,NA
"157",NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA
"158",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA
"159",NA,NA,6,NA,NA,NA,NA,NA,NA,4,NA,NA
"160",6.5,NA,NA,NA,NA,NA,8.5,NA,7.5,NA,7.5,NA
"161",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
"162",NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163",NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164",NA,5,NA,2.5,NA,2,4,NA,NA,NA,NA,NA
"165",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA
"166",NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA
"167",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,6
"168",NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",NA,8,6,NA,NA,6,NA,NA,NA,NA,NA,NA
"171",NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",NA,NA,NA,6,NA,NA,NA,NA,6,6,NA,NA
"173",NA,NA,NA,6,NA,NA,NA,NA,6,7,NA,NA
"174",NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,9.5,9.5
"176",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA
"177",NA,NA,6,NA,NA,NA,NA,5,NA,NA,NA,NA
"178",NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA
"179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"180",6,8.5,NA,6,5,NA,6,NA,NA,7.5,2,NA
"181",NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA
"182",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
"183",NA,NA,6,NA,NA,NA,NA,4.5,6,NA,3.5,NA
"184",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
"185",6,NA,6,NA,NA,NA,NA,NA,6.5,7.5,6,NA
"186",NA,NA,8,8.5,NA,NA,8,NA,6,6,5,NA
"187",NA,NA,NA,NA,10,NA,NA,NA,8.5,NA,NA,NA
"188",6.5,10,6,6,NA,9,8.5,NA,NA,4,NA,NA
"189",NA,6,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190",NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
"191",NA,NA,6.5,NA,7.5,NA,NA,NA,NA,NA,NA,NA
"192",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8.5,NA
"193",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA
"194",NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,7.5,7.5
"195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,8.5
"196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10
"197",NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198",NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199",NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA
"200",NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201",NA,NA,NA,NA,NA,NA,NA,NA,7,NA,7,7
"202",6,NA,7,NA,NA,NA,7.5,NA,6.5,2.5,8,8
"203",6,NA,7,NA,NA,NA,7.5,NA,6.5,2.5,8,8
"204",6,NA,7,NA,NA,NA,7.5,NA,6.5,3.5,8,8
"205",6,NA,7,NA,NA,NA,7.5,NA,6.5,3.5,8,8
"206",6,NA,7,NA,NA,NA,7.5,NA,6.5,2.5,8,8
"207",6,NA,7,NA,NA,NA,7.5,NA,6.5,2.5,8,8
"208",6,NA,7,NA,NA,NA,7.5,NA,6.5,3.5,8,8
"209",6,NA,7,NA,NA,NA,7.5,NA,6.5,3.5,8,8
"210",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
"211",NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
"212",NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213",NA,NA,7.5,NA,NA,NA,NA,NA,NA,6.5,9,9
"214",NA,NA,7.5,NA,NA,NA,NA,NA,NA,6.5,9,9
"215",NA,NA,7.5,NA,NA,NA,NA,NA,NA,8.5,9,9
"216",NA,NA,7.5,NA,NA,NA,NA,NA,NA,8.5,9,9
"217",NA,NA,7.5,NA,NA,NA,NA,NA,NA,6.5,9,9
"218",NA,NA,7.5,NA,NA,NA,NA,NA,NA,6.5,9,9
"219",NA,NA,7.5,NA,NA,NA,NA,NA,NA,8.5,9,9
"220",NA,NA,7.5,NA,NA,NA,NA,NA,NA,8.5,9,9
"221",NA,NA,6.5,NA,NA,6.5,NA,NA,NA,NA,NA,NA
"222",NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA
"223",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,10,10
"225",NA,5,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA
"226",NA,NA,NA,NA,NA,NA,NA,NA,6.5,6.5,1,1
"227",NA,NA,NA,NA,NA,NA,NA,NA,6.5,6.5,1,1
"228",NA,NA,NA,NA,NA,NA,NA,NA,6.5,6.5,1,1
"229",NA,NA,NA,NA,NA,NA,NA,NA,6.5,6.5,1,1
"230",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,NA
"231",NA,5,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA
"232",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10
"233",NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
"234",NA,7.5,NA,NA,NA,4.5,9.5,NA,NA,NA,NA,NA
"235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,4.5
"236",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237",4,NA,NA,NA,NA,NA,NA,NA,4,3.5,6,2
"238",4,NA,NA,NA,NA,NA,NA,NA,4,3.5,6,2
"239",4,NA,NA,NA,NA,NA,NA,NA,4,4,6,2
"240",4,NA,NA,NA,NA,NA,NA,NA,4,4,6,2
"241",4,NA,NA,NA,NA,NA,NA,NA,4,3.5,6,2
"242",4,NA,NA,NA,NA,NA,NA,NA,4,3.5,6,2
"243",4,NA,NA,NA,NA,NA,NA,NA,4,4,6,2
"244",4,NA,NA,NA,NA,NA,NA,NA,4,4,6,2
"245",NA,6.5,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"246",7.5,10,7,7.5,7.5,8,8,7.5,7,8.5,6,NA
"247",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248",NA,8,8,NA,7,6,NA,NA,NA,NA,NA,NA
"249",NA,NA,NA,NA,9.5,NA,NA,NA,NA,NA,10,10
"250",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
"251",NA,NA,7.5,NA,NA,5,NA,NA,NA,NA,NA,NA
"252",NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253",NA,NA,6.5,NA,6,7,NA,NA,NA,NA,NA,NA
"254",NA,NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255",NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256",NA,NA,NA,NA,NA,NA,NA,NA,8.5,5,7,6.5
"257",3,NA,5,NA,NA,NA,NA,NA,6,3,NA,NA
"258",NA,9.5,8,NA,8.5,8.5,NA,NA,NA,NA,NA,NA
"259",NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260",NA,NA,6,NA,6.5,NA,NA,NA,NA,NA,NA,NA
"261",NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262",NA,NA,5,NA,NA,4.5,NA,NA,NA,NA,NA,NA
"263",NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264",NA,5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265",NA,7,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
"266",NA,6,3.5,NA,NA,2.5,NA,NA,NA,NA,NA,NA
"267",NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268",NA,NA,7.5,NA,NA,NA,NA,8,8.5,8,NA,NA
"269",NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA
"270",NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271",NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273",NA,NA,6.5,NA,NA,NA,NA,6.5,NA,NA,NA,NA
"274",NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275",3.5,NA,7,6.5,NA,NA,7.5,7,8,6.5,7,NA
"276",NA,NA,6,NA,NA,5,NA,NA,NA,NA,NA,NA
"277",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278",NA,NA,10,NA,NA,NA,NA,NA,9,10,NA,NA
"279",NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280",NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281",6,8,6,8.5,7.5,6,6,8,6,9,6,NA
"282",NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283",NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284",NA,NA,7.5,NA,NA,6.5,NA,NA,NA,NA,NA,NA
"285",NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286",NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA
"287",4.5,6.5,5,6,NA,5,NA,NA,NA,3,NA,NA
"288",NA,NA,9,NA,6,NA,NA,NA,NA,NA,NA,NA
"289",NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA
"290",NA,NA,4.5,NA,NA,7,NA,6.5,NA,NA,NA,NA
"291",NA,NA,8.5,NA,NA,NA,NA,8.5,NA,NA,NA,NA
"292",NA,NA,10,NA,NA,NA,NA,NA,9.5,10,NA,NA
"293",2,8.5,4,NA,NA,6,4.5,NA,NA,NA,NA,NA
"294",NA,9.5,7.5,NA,6,9,NA,NA,NA,NA,NA,NA
"295",NA,NA,6,NA,NA,6,NA,NA,NA,NA,NA,NA
"296",NA,NA,NA,8,NA,6,NA,NA,NA,NA,NA,NA
"297",NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
"298",NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299",NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300",NA,NA,8,NA,NA,NA,NA,NA,NA,NA,8,NA
"301",NA,9,9,NA,NA,9,6.5,NA,NA,NA,NA,NA
"302",6,9,6,7.5,8.5,8,7.5,7,6,NA,NA,NA
"303",NA,NA,6,NA,NA,6,NA,NA,NA,NA,NA,NA
"304",NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305",NA,9,7,NA,NA,7,NA,NA,NA,NA,NA,NA
"306",NA,NA,9,NA,NA,NA,NA,NA,9,8,NA,NA
"307",NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308",NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309",NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310",NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311",NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
